RESULT_COUNT: 966,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,COMPOSITE_FIGI,COMPOSITE_FIGI_TICKER,SECURITY_NAME,MARKET_SECTOR,SECURITY_TYPE,STOCK_EXCHANGE,LAST_CRSP_ADJ_DATE
0148,SUNZ:MK,BBG000DZ8FV1,BBG000DZ8F78,SUNZ:MK,SUNZEN BIOTECH BERHAD,Equity,Common Stock,,2016-01-29
0149,FIBON:MK,BBG000BN10Y7,BBG000BN10F8,FIBON:MK,FIBON BERHAD,Equity,Common Stock,,2016-12-06
0150,ABIO:MK,BBG000CGJTX0,BBG000CGJTM2,ABIO:MK,ASIA BIOENERGY TECHNOLOGIES BHD,Equity,Common Stock,,
0151,KGRB:MK,BBG000PPYSQ9,BBG000PPYRF3,KGRB:MK,KELINGTON GROUP BERHAD,Equity,Common Stock,,2015-07-09
0152,DGB:MK,BBG000PX3C09,BBG000PX39F0,DGB:MK,DGB ASIA BERHAD,Equity,Common Stock,,2016-09-13
0153,OVSE:MK,BBG000QJ1ST5,BBG000QJ1S88,OVSE:MK,OVERSEA ENTERPRISE BERHAD,Equity,Common Stock,,2015-12-07
0154,EAHB:MK,BBG000R4Q8V1,BBG000R4Q7V3,EAHB:MK,EA HOLDINGS BERHAD,Equity,Common Stock,,2015-07-02
0155,MGRC:MK,BBG0015W8SF5,BBG0015W8SD7,MGRC:MK,MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,Equity,Common Stock,,
0156,MPSB:MK,BBG001JYT9L8,BBG001JYT9K9,MPSB:MK,MANAGEPAY SYSTEMS BERHAD,Equity,Common Stock,,2012-07-11
0157,FPHB:MK,BBG000R4WMX1,BBG000R4WM61,FPHB:MK,FOCUS POINT HOLDINGS BERHAD,Equity,Common Stock,,2014-10-29
0158,SCHB:MK,BBG000R4WNX9,BBG000R4WNS5,SCHB:MK,SCC HOLDINGS BERHAD,Equity,Common Stock,,2017-07-06
0159,AMGB:MK,BBG001CKD905,BBG001CKD8Z9,AMGB:MK,ASIA MEDIA GROUP BERHAD,Equity,Common Stock,,2015-12-07
0160,HHH:MK,BBG003MBXKV9,BBG003MBXKT2,HHH:MK,HIAP HUAT HOLDINGS BERHAD,Equity,Common Stock,,
0161,SCHG:MK,BBG005WQL163,BBG005WQL154,SCHG:MK,SCH GROUP BERHAD,Equity,Common Stock,,2016-11-25
0162,IDJ:MK,BBG001NW31P8,BBG001NW31N0,IDJ:MK,IDEAL JACOBS (MALAYSIA) CORPORATION BHD,Equity,Common Stock,,
0163,CPG:MK,BBG00192Z068,BBG00192Z059,CPG:MK,CAREPLUS GROUP BERHAD,Equity,Common Stock,,2016-06-20
0165,XOX:MK,BBG001Q800P3,BBG001Q800N5,XOX:MK,XOX BHD,Equity,Common Stock,,2015-11-13
0166,INRI:MK,BBG001V5BVH2,BBG001V5BVG3,INRI:MK,INARI AMERTRON BERHAD,Equity,Common Stock,,2017-09-18
0167,MTB:MK,BBG001NH96S1,BBG001NH96R2,MTB:MK,MCLEAN TECHNOLOGIES BERHAD,Equity,Common Stock,,2015-10-02
0168,BMHB:MK,BBG001MKYV39,BBG001MKYV20,BMHB:MK,BOILERMECH HOLDINGS BERHAD,Equity,Common Stock,,2017-08-24
0169,SMTG:MK,BBG001LRVK05,BBG001LRVJZ0,SMTG:MK,SMTRACK BERHAD,Equity,Common Stock,,2017-08-04
0170,KANGER:MK,BBG005P27J70,BBG005P27J61,KANGER:MK,KANGER INTERNATIONAL BERHAD,Equity,Common Stock,,2015-04-08
0171,PLAB:MK,BBG001VBZZ11,BBG001VBZZ02,PLAB:MK,PETERLABS HOLDINGS BERHAD,Equity,Common Stock,,2016-12-28
0172,OCK:MK,BBG0035SDCF9,BBG0035SDCD1,OCK:MK,OCK GROUP BERHAD,Equity,Common Stock,,2015-11-19
0173,REV:MK,BBG001V9YB38,BBG001V9YB29,REV:MK,REV ASIA BERHAD,Equity,Common Stock,,2017-08-14
0174,IDC:MK,BBG00277BJ99,BBG00277BJ80,IDC:MK,IDIMENSION CONSOLIDATED BHD,Equity,Common Stock,,2015-07-13
0175,HHR:MK,BBG006R40ZP3,BBG006R40ZN5,HHR:MK,HENG HUAT RESOURCES GROUP BERHAD,Equity,Common Stock,,2015-07-10
0176,KAB:MK,BBG006S8Y6F1,BBG006S8Y6D3,KAB:MK,KRONOLOGI ASIA BERHAD,Equity,Common Stock,,
0177,PSK:MK,BBG0038DXLS3,BBG0038DXLR4,PSK:MK,PASUKHAS GROUP BERHAD,Equity,Common Stock,,2017-04-06
0178,SDNA:MK,BBG009CM21Q5,BBG009CM21P6,SDNA:MK,SEDANIA INNOVATOR BERHAD,Equity,Common Stock,,2017-04-20
0179,BIOA:MK,BBG008D8WD06,BBG008D8WCZ0,BIOA:MK,BIOALPHA HOLDINGS BERHAD,Equity,Common Stock,,2016-12-06
0180,KTCC:MK,BBG00B9L2HJ9,BBG00B9L2HG2,KTCC:MK,KIM TECK CHEONG CONSOLIDATED BERHAD,Equity,Common Stock,,
0181,AMLS:MK,BBG008898JC1,BBG008897FC0,AMLS:MK,AEMULUS HOLDINGS BERHAD,Equity,Common Stock,,
0182,LKLI:MK,BBG00CSMPD99,BBG00CSMPD71,LKLI:MK,LKL INTERNATIONAL BERHAD,Equity,Common Stock,,2017-04-03
0183,SALUT:MK,BBG00CRG1195,BBG00CRG1186,SALUT:MK,SALUTICA BERHAD,Equity,Common Stock,,2017-09-13
0185,HSS:MK,BBG009LCBMQ1,BBG009LCBM27,HSS:MK,HSS ENGINEERS BERHAD,Equity,Common Stock,,2017-05-03
0186,PERAK:MK,BBG00DS2QLD7,BBG00DS2QLC8,PERAK:MK,PERAK TRANSIT BERHAD,Equity,Common Stock,,2017-09-12
0187,BCM:MK,BBG00DY45V47,BBG00DY45V38,BCM:MK,BCM ALLIANCE BERHAD,Equity,Common Stock,,2016-11-03
0188,HLT:MK,BBG00FM0KNR9,BBG00FM0KNQ0,HLT:MK,HLT GLOBAL BERHAD,Equity,Common Stock,,
0189,MAT:MK,BBG00FLZCBM3,BBG00FLZCBL4,MAT:MK,MATANG BERHAD,Equity,Common Stock,,
0190,ESR:MK,BBG00GD4P968,BBG001S4M897,ESR:MK,EVERSAFE RUBBER BERHAD,Equity,Common Stock,,2017-06-28
0191,CABN:MK,BBG00GM6YBN9,BBG00CGWH088,CABN:MK,CABNET HOLDINGS BERHAD,Equity,Common Stock,,2017-09-13
0192,INTA:MK,BBG00GNMNDL3,BBG002YBY2D7,INTA:MK,INTA BINA GROUP BERHAD,Equity,Common Stock,,
0800EA,MBIF:MK,BBG000HK9729,BBG000HK9676,MBIF:MK,ABF MALAYSIA BOND INDEX FUND,Equity,ETP,KLS,
0820EA,FBM30:MK,BBG000RJ70Y3,BBG000RJ70L7,FBM30:MK,FTSE BURSA MALAYSIA KLCI ETF,Equity,ETP,,
0821EA,DJIM25:MK,BBG000V8HCR3,BBG000V8HCJ2,DJIM25:MK,I-VCAP MYETF DOW JONES ISLAMIC MARKET MALAYSIA TITANS 25,Equity,ETP,KLS,
0822EA,CIMBA40:MK,BBG000BBTP32,BBG000BBTNV6,CIMBA40:MK,CIMB FTSE ASEAN 40 MALAYSIA,Equity,ETP,KLS,
0823EA,CIMBC25:MK,BBG000BBTRQ3,BBG000BBTQC0,CIMBC25:MK,CIMB FTSE CHINA 50,Equity,ETP,KLS,
0824EA,MEMMID:MK,BBG0064KZ9Y2,BBG0064KZ9W4,MEMMID:MK,I-VCAP MYETF MSCI MALAYSIA ISLAMIC DIVIDEND,Equity,ETP,KLS,
0825EA,MEMSID:MK,BBG008G5RNF7,BBG008G5RND9,MEMSID:MK,I-VCAP MYETF MSCI SEA ISLAMIC DIVIDEND,Equity,ETP,KLS,
0826EA,METAGR:MK,BBG00B9P13X6,BBG00B9P13V8,METAGR:MK,I-VCAP MYETF THOMSON REUTERS ASIA PACIFIC EX-JP ISLAMIC AGRIBUS,Equity,ETP,KLS,
1007,APRO:MK,BBG000BF46F9,BBG000BF45R8,APRO:MK,AMCORP PROPERTIES BERHAD,Equity,Common Stock,,2017-09-05
1007PA,APROMK 4 09/30/19 RCPS:BURSA MALAYSIA,BBG0076XGZZ2,,APROMK 4 09/30/19 RCPS:BURSA MALAYSIA,AMCORP PROPERTIES BERHAD,Pfd,PUBLIC,,2016-09-29
1015,AMM:MK,BBG000BF49B7,BBG000BF4865,AMM:MK,AMMB HOLDINGS BHD,Equity,Common Stock,,2016-12-06
1023,CIMB:MK,BBG000BQFHV1,BBG000BQFH41,CIMB:MK,CIMB GROUP HOLDINGS BERHAD,Equity,Common Stock,,2017-03-28
1058,MHBS:MK,BBG000BN5RN6,BBG000BN5R01,MHBS:MK,MANULIFE HOLDINGS BERHAD,Equity,Common Stock,,2017-06-28
1066,RHBBANK:MK,BBG002HR1PP3,BBG000BYVDL6,RHBBANK:MK,RHB BANK BERHARD,Equity,Common Stock,,2017-05-15
1082,HLFG:MK,BBG000BF4CF6,BBG000BF4C39,HLFG:MK,HONG LEONG FINANCIAL GROUP BHD,Equity,Common Stock,,2017-06-09
1147,GOB:MK,BBG000BF4F32,BBG000BF4DM6,GOB:MK,GLOBAL ORIENTAL BERHAD,Equity,Common Stock,,2016-09-07
1155,MAY:MK,BBG000BF4GM9,BBG000BF4FS5,MAY:MK,MALAYAN BANKING BHD,Equity,Common Stock,,2017-05-04
1163,ALLZ:MK,BBG000BN3ZK3,BBG000BN3ZD1,ALLZ:MK,ALLIANZ MALAYSIA BERHAD,Equity,Common Stock,,2016-05-27
1163PA,ALLZMK F PERP ICPS:BURSA MALAYSIA,BBG000002CD5,,ALLZMK F PERP ICPS:BURSA MALAYSIA,ALLIANZ MALAYSIA BERHAD,Pfd,PUBLIC,,2016-05-27
