RESULT_COUNT: 5071,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1,,,,,
TICKER,FIGI_TICKER,FIGI,COMPOSITE_FIGI,COMPOSITE_FIGI_TICKER,SECURITY_NAME,MARKET_SECTOR,SECURITY_TYPE,STOCK_EXCHANGE,LAST_CRSP_ADJ_DATE
ALK,ALK:US,BBG000BBL0Y1,BBG000BBL0Y1,ALK:US,ALASKA AIR GROUP INC,Equity,Common Stock,NYSE,2017-08-18
ALL,ALL:US,BBG000BVMGF2,BBG000BVMGF2,ALL:US,ALLSTATE CORP,Equity,Common Stock,NYSE,2017-08-29
ALLE,ALLE:US,BBG003PS7JV1,BBG003PS7JV1,ALLE:US,ALLEGION PLC,Equity,Common Stock,NYSE,2017-09-15
ALLY,ALLY:US,BBG000BC2R71,BBG000BC2R71,ALLY:US,ALLY FINANCIAL INC,Equity,Common Stock,NYSE,2017-07-28
ALN,ALN:US,BBG000GL6QR2,BBG000GL6QR2,ALN:US,AMERICAN LORAIN CORP,Equity,Common Stock,NYSE,
ALO,ALO:US,BBG000Q9B9J9,BBG000Q9B9J9,ALO:US,ALIO GOLD INC,Equity,Common Stock,NYSE,2017-05-16
ALR,ALR:US,BBG000BYKSX2,BBG000BYKSX2,ALR:US,ALERE INC,Equity,Common Stock,NYSE,
ALSN,ALSN:US,BBG001KY3845,BBG001KY3845,ALSN:US,ALLISON TRANSMISSION HOLDING,Equity,Common Stock,NYSE,2017-08-17
ALTV,ALTV:UN,BBG000BS2F63,BBG000BS2F63,ALTV:US,ALTEVA,Equity,Common Stock,NYSE,2015-07-01
ALU,ALU:UN,BBG000CS5ZX5,BBG000CS5YK2,ALU:US,ALCATEL-LUCENT-SPONSORED ADR,Equity,ADR,NYSE,2013-12-03
ALV,ALV:US,BBG000BVLRY8,BBG000BVLRY8,ALV:US,AUTOLIV INC,Equity,Common Stock,NYSE,2017-08-21
ALX,ALX:US,BBG000BBNLK8,BBG000BBNLK8,ALX:US,ALEXANDER'S INC,Equity,REIT,NYSE,2017-08-03
AM,AM:US,BBG005ZHCBR5,BBG005ZHCBR5,AM:US,ANTERO MIDSTREAM PARTNERS LP,Equity,MLP,NYSE,2017-08-01
AMBR,AMBR:US,BBG00593JJ37,BBG00593JJ37,AMBR:US,AMBER ROAD INC,Equity,Common Stock,NYSE,
AMC,AMC:US,BBG000TDCVT6,BBG000TDCVT6,AMC:US,AMC ENTERTAINMENT HLDS-CL A,Equity,Common Stock,NYSE,2017-09-08
AMCO,AMCO:UN,BBG000LMSCP3,BBG000LMSCP3,AMCO:US,ARMCO METALS HOLDINGS INC,Equity,Common Stock,NYSE,2015-01-09
AME,AME:US,BBG000B9XG87,BBG000B9XG87,AME:US,AMETEK INC,Equity,Common Stock,NYSE,2017-09-14
AMFW,AMFW:US,BBG007JNQVF0,BBG007JNQVF0,AMFW:US,AMEC FOSTER WHEELER-SPN ADR,Equity,ADR,NYSE,2016-11-22
AMG,AMG:US,BBG000C060M4,BBG000C060M4,AMG:US,AFFILIATED MANAGERS GROUP,Equity,Common Stock,NYSE,2017-08-08
